# Simulation 1 (Up to date)
# 923 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
1.221,116.78,182.886,105.502
1.228,118.104,183.644,104.546
1.234,119.203,184.267,103.863
1.241,120.54,185.016,103.127
1.246,121.441,185.516,102.65
1.253,122.797,186.256,100.134
1.263,124.567,187.189,96.722
1.271,126.051,187.943,93.75
1.282,128.183,188.979,89.447
1.299,131.402,190.361,73.475
1.312,133.906,191.245,61.397
1.316,134.654,191.478,57.819
1.322,135.777,191.804,53.13
1.331,137.466,192.24,46.059
1.344,140.005,192.777,35.413
1.36,143.124,193.245,22.557
1.384,147.812,193.649,10.799
1.42,154.854,193.723,-6.586
1.424,155.516,193.698,-8.196
1.429,156.509,193.654,-9.157
1.437,157.997,193.578,-10.611
1.448,160.228,193.443,-12.787
1.466,163.572,193.194,-15.973
1.491,168.578,192.72,-20.639
1.504,170.97,192.449,-22.857
1.523,174.552,192.02,-23.27
1.55,179.909,191.36,-23.907
1.592,187.911,190.335,-24.779
1.598,188.956,190.199,-24.832
1.606,190.523,189.991,-25.515
1.616,192.453,189.727,-26.483
1.632,195.344,189.312,-27.925
1.647,198.192,188.882,-29.11
1.656,199.943,188.609,-29.805
1.67,202.564,188.173,-32.834
1.676,203.709,187.969,-34.177
1.678,204.179,187.878,-38.489
1.682,204.883,187.731,-39.787
1.688,205.938,187.502,-41.73
1.696,207.519,187.137,-44.622
1.709,209.884,186.546,-48.853
1.714,210.821,186.296,-50.522
1.721,212.226,185.905,-53.02
1.734,214.537,185.219,-57.174
1.753,217.987,184.15,-57.225
1.781,223.124,182.548,-57.169
# Event BURNOUT occurred at t=1.808 seconds
1.808,228.086,180.986,-57.203
1.849,235.45,178.674,-55.725
1.899,244.315,175.929,-53.805
1.906,245.501,175.567,-53.648
1.915,247.076,175.085,-53.537
1.92,247.998,174.803,-53.474
1.925,248.92,174.521,-53.383
1.932,250.11,174.157,-53.202
1.94,251.578,173.71,-52.879
1.952,253.538,173.115,-52.354
1.958,254.694,172.766,-52.049
1.966,256.054,172.357,-51.758
1.976,257.76,171.845,-51.515
1.991,260.264,171.095,-51.264
2,261.838,170.623,-51.056
2.013,264.064,169.959,-50.63
2.032,267.244,169.015,-49.941
2.049,270.068,168.183,-49.479
2.074,274.278,166.946,-48.89
2.111,280.536,165.125,-47.887
2.126,282.921,164.434,-47.554
2.147,286.402,163.431,-46.919
2.17,290.126,162.366,-46.301
2.197,294.496,161.122,-45.735
2.238,300.989,159.29,-44.776
2.267,305.641,157.985,-44.128
2.311,312.547,156.067,-43.219
2.334,316.226,155.052,-42.662
2.37,321.699,153.553,-41.928
2.42,329.325,151.483,-41.02
2.438,332.007,150.759,-40.639
2.451,333.996,150.224,-40.3
2.465,336.17,149.642,-39.992
2.487,339.416,148.775,-39.654
2.506,342.149,148.048,-39.351
2.533,346.223,146.968,-38.817
2.574,352.213,145.391,-38.178
2.607,357,144.14,-37.556
2.657,364.104,142.296,-36.739
2.707,371.174,140.472,-36.236
2.715,372.263,140.192,-35.888
2.726,373.893,139.777,-35.437
2.733,374.856,139.533,-35.262
2.738,375.601,139.345,-35.183
2.744,376.347,139.157,-35.148
2.75,377.203,138.94,-35.155
2.759,378.485,138.615,-35.197
2.773,380.402,138.127,-35.228
2.782,381.626,137.815,-35.144
2.789,382.638,137.557,-34.997
2.798,383.83,137.255,-34.76
2.811,385.613,136.805,-34.389
2.831,388.276,136.138,-34.03
2.841,389.726,135.775,-33.955
2.857,391.894,135.232,-33.911
2.881,395.13,134.421,-33.633
2.898,397.34,133.87,-33.294
